_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
140,2021-02-04T00:00:07.0Z,/sonometros,NoiseLevelObserved,T248684-daily,58.2,60.0,59.6,58.3,46.7,2021-02-03
141,2021-02-05T00:00:09.805Z,/sonometros,NoiseLevelObserved,T248684-daily,57.5,59.3,59.3,57.8,47.9,2021-02-04
142,2021-02-06T00:00:13.193Z,/sonometros,NoiseLevelObserved,T248684-daily,58.2,59.8,60.3,58.8,49.7,2021-02-05
143,2021-02-07T00:00:12.13Z,/sonometros,NoiseLevelObserved,T248684-daily,56.9,58.7,58.5,57.1,46.2,2021-02-06
144,2021-02-08T00:00:16.781Z,/sonometros,NoiseLevelObserved,T248684-daily,54.1,55.6,56.5,55.5,46.3,2021-02-07
145,2021-02-09T00:00:17.854Z,/sonometros,NoiseLevelObserved,T248684-daily,58.5,60.4,59.9,55.9,48.5,2021-02-08
146,2021-02-10T00:00:23.777Z,/sonometros,NoiseLevelObserved,T248684-daily,57.0,58.9,58.9,56.1,48.0,2021-02-09
147,2021-02-11T00:00:21.485Z,/sonometros,NoiseLevelObserved,T248684-daily,58.0,59.8,59.7,58.0,48.2,2021-02-10
148,2021-02-12T00:00:23.720Z,/sonometros,NoiseLevelObserved,T248684-daily,58.2,60.1,59.8,57.5,47.8,2021-02-11
149,2021-02-13T00:00:26.238Z,/sonometros,NoiseLevelObserved,T248684-daily,57.8,59.6,59.8,58.0,48.7,2021-02-12
150,2021-02-14T00:00:28.887Z,/sonometros,NoiseLevelObserved,T248684-daily,56.4,57.7,58.9,59.3,47.8,2021-02-13
151,2021-02-15T00:00:30.488Z,/sonometros,NoiseLevelObserved,T248684-daily,55.7,56.9,59.1,57.6,50.5,2021-02-14
152,2021-02-16T00:00:32.678Z,/sonometros,NoiseLevelObserved,T248684-daily,60.7,62.7,62.3,56.8,51.5,2021-02-15
153,2021-02-17T00:00:35.93Z,/sonometros,NoiseLevelObserved,T248684-daily,57.9,59.7,59.8,57.7,48.8,2021-02-16
154,2021-03-13T00:00:11.488Z,/sonometros,NoiseLevelObserved,T248684-daily,61.0,62.1,62.5,59.0,51.5,2021-03-12
155,2021-03-14T00:00:17.308Z,/sonometros,NoiseLevelObserved,T248684-daily,64.0,66.2,64.4,57.9,46.5,2021-03-13
156,2021-03-15T00:00:14.406Z,/sonometros,NoiseLevelObserved,T248684-daily,58.6,60.6,59.4,57.1,43.5,2021-03-14
157,2021-03-16T00:00:15.115Z,/sonometros,NoiseLevelObserved,T248684-daily,61.5,63.7,62.3,57.3,47.5,2021-03-15
158,2021-03-17T00:00:17.24Z,/sonometros,NoiseLevelObserved,T248684-daily,62.1,64.1,63.1,60.6,48.4,2021-03-16
159,2021-03-18T00:00:19.503Z,/sonometros,NoiseLevelObserved,T248684-daily,61.4,63.5,62.2,57.8,47.5,2021-03-17
160,2021-03-19T00:00:19.875Z,/sonometros,NoiseLevelObserved,T248684-daily,61.5,63.6,62.5,58.7,48.8,2021-03-18
161,2021-03-20T00:00:22.547Z,/sonometros,NoiseLevelObserved,T248684-daily,60.3,62.3,61.3,59.9,44.8,2021-03-19
162,2021-03-21T00:00:24.237Z,/sonometros,NoiseLevelObserved,T248684-daily,60.0,61.8,61.5,59.5,49.5,2021-03-20
163,2021-03-22T00:00:27.1Z,/sonometros,NoiseLevelObserved,T248684-daily,59.0,60.9,60.3,57.1,48.0,2021-03-21
164,2021-03-23T00:00:31.631Z,/sonometros,NoiseLevelObserved,T248684-daily,59.9,62.0,61.1,57.6,48.3,2021-03-22
165,2021-03-24T00:00:33.19Z,/sonometros,NoiseLevelObserved,T248684-daily,62.3,64.4,63.2,57.9,50.0,2021-03-23
166,2021-03-25T00:00:35.818Z,/sonometros,NoiseLevelObserved,T248684-daily,60.7,62.7,61.9,58.6,49.2,2021-03-24
167,2021-03-26T00:00:36.840Z,/sonometros,NoiseLevelObserved,T248684-daily,59.9,61.9,61.4,58.5,49.3,2021-03-25
168,2021-03-27T00:00:39.334Z,/sonometros,NoiseLevelObserved,T248684-daily,60.1,61.9,61.7,59.5,49.9,2021-03-26
169,2021-03-28T00:00:41.990Z,/sonometros,NoiseLevelObserved,T248684-daily,62.4,64.6,63.1,57.5,48.4,2021-03-27
170,2021-03-29T00:00:43.908Z,/sonometros,NoiseLevelObserved,T248684-daily,59.8,61.6,60.6,57.5,45.9,2021-03-28
171,2021-03-30T00:00:46.337Z,/sonometros,NoiseLevelObserved,T248684-daily,60.2,62.3,61.5,57.9,48.9,2021-03-29
172,2021-03-31T00:01:55.535Z,/sonometros,NoiseLevelObserved,T248684-daily,59.3,61.3,60.5,57.7,47.4,2021-03-30
173,2021-04-01T00:00:51.278Z,/sonometros,NoiseLevelObserved,T248684-daily,59.7,61.6,61.0,58.9,48.1,2021-03-31
